feature,importance_gain
current_win_pct,3682.5039117336273
abs_eval_cp,3521.7861257493496
material_imbalance,1992.0083096027374
legal_move_count,1756.9621734023094
mover_elo,1635.4338991641998
material_count,875.6293547153473
attackers_near_own_king,586.3805503845215
hanging_piece_count,245.25411421060562
passed_pawns_mover,172.43636894226074
phase_piece_count,119.46766090393066
rating_band_index,106.2723879814148
passed_pawns_opponent,84.34157013893127
castling_kingside,15.45229959487915
side_to_move_white,9.981459617614746
castling_queenside,6.236959934234619
in_check,0.0
